,session_start_time,intercept,stim_contrast,stim_contrast_minus_1,response_cw_minus_1,response_cw
22025,2019-06-18T15:56:22Z,1,-0.5,0.0,0,False
22026,2019-06-18T15:56:22Z,1,-0.5,-1.0,0,True
22027,2019-06-18T15:56:22Z,1,-0.5,-1.0,1,False
22028,2019-06-18T15:56:22Z,1,-0.5,-1.0,0,False
22029,2019-06-18T15:56:22Z,1,-0.5,-1.0,0,False
22030,2019-06-18T15:56:22Z,1,-0.5,-1.0,0,False
22031,2019-06-18T15:56:22Z,1,-0.5,-1.0,0,False
22032,2019-06-18T15:56:22Z,1,0.5,-1.0,0,True
22033,2019-06-18T15:56:22Z,1,-0.5,1.0,1,True
22034,2019-06-18T15:56:22Z,1,-0.5,-1.0,1,True
22035,2019-06-18T15:56:22Z,1,1.0,-1.0,1,False
22036,2019-06-18T15:56:22Z,1,1.0,1.0,0,False
22037,2019-06-18T15:56:22Z,1,1.0,1.0,0,False
22038,2019-06-18T15:56:22Z,1,1.0,1.0,0,True
22039,2019-06-18T15:56:22Z,1,-1.0,1.0,1,True
22040,2019-06-18T15:56:22Z,1,1.0,-1.0,1,True
22041,2019-06-18T15:56:22Z,1,1.0,1.0,1,True
22042,2019-06-18T15:56:22Z,1,1.0,1.0,1,True
22043,2019-06-18T15:56:22Z,1,1.0,1.0,1,False
22044,2019-06-18T15:56:22Z,1,1.0,1.0,0,True
22045,2019-06-18T15:56:22Z,1,1.0,1.0,1,True
22046,2019-06-18T15:56:22Z,1,1.0,1.0,1,True
22047,2019-06-18T15:56:22Z,1,-1.0,1.0,1,True
22048,2019-06-18T15:56:22Z,1,0.5,-1.0,1,True
22049,2019-06-18T15:56:22Z,1,-0.5,1.0,1,True
22050,2019-06-18T15:56:22Z,1,0.5,-1.0,1,False
22051,2019-06-18T15:56:22Z,1,1.0,1.0,0,True
22052,2019-06-18T15:56:22Z,1,1.0,1.0,1,True
22053,2019-06-18T15:56:22Z,1,1.0,1.0,1,True
22054,2019-06-18T15:56:22Z,1,1.0,1.0,1,True
22055,2019-06-18T15:56:22Z,1,1.0,1.0,1,True
22056,2019-06-18T15:56:22Z,1,1.0,1.0,1,True
22057,2019-06-18T15:56:22Z,1,1.0,1.0,1,True
22058,2019-06-18T15:56:22Z,1,-1.0,1.0,1,False
22059,2019-06-18T15:56:22Z,1,1.0,-1.0,0,True
22060,2019-06-18T15:56:22Z,1,1.0,1.0,1,True
22061,2019-06-18T15:56:22Z,1,1.0,1.0,1,True
22062,2019-06-18T15:56:22Z,1,1.0,1.0,1,True
22063,2019-06-18T15:56:22Z,1,1.0,1.0,1,True
22064,2019-06-18T15:56:22Z,1,1.0,1.0,1,False
22065,2019-06-18T15:56:22Z,1,1.0,1.0,0,False
